Source,Page,Type,Label/Title,Content
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,"Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10","Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 12: Fixed Voice Subscriptions .......................................................................................... 11,"Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,9,Chart,Figure 1 illustrates trends in mobile (SIM) subscriptions and the respective penetration rates.,"is attributed to the various customer win-back campaigns run by operators during the reference period.  |   | Figure 1 illustrates trends in mobile (SIM) subscriptions and the respective penetration rates.  |   |   | Source: CA, Operators’ Returns  | Figure 1: Mobile Subscriptions and Penetration  |   | Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid  | mobile subscriptions accounted for 96.5 per cent of the total mobile subscriptions.  |   | 1 Active subscriptions refer to subscriptions that have generated revenue in the last 3 months"
_Sector Statistics Report Q3 2025-2026.pdf,9,Chart,Figure 1: Mobile Subscriptions and Penetration,"| Source: CA, Operators’ Returns  | Figure 1: Mobile Subscriptions and Penetration  |   | Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid  | mobile subscriptions accounted for 96.5 per cent of the total mobile subscriptions.  |   | 1 Active subscriptions refer to subscriptions that have generated revenue in the last 3 months   |"
_Sector Statistics Report Q3 2025-2026.pdf,9,Chart,Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid,Figure 1: Mobile Subscriptions and Penetration  |   | Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid  | mobile subscriptions accounted for 96.5 per cent of the total mobile subscriptions.  |   | 1 Active subscriptions refer to subscriptions that have generated revenue in the last 3 months   |
_Sector Statistics Report Q3 2025-2026.pdf,10,Chart,Figure 2: Mobile Subscription per Operator,"| Source: CA, Operators’ Returns  | Figure 2: Mobile Subscription per Operator  |   | 1.2 Machine-to-Machine (M2M) Subscriptions   | As at period end, Machine-to-Machine (M2M)2 subscriptions that comprise of SIM cards assigned for use in  | machines grew by 8.8 per cent to 2.0 million as shown in Table 1.  |   | Table 1: Machine-to-Machine (M2M) Subscriptions  | Indicator/Period  | Mar-26  | Dec-25"
_Sector Statistics Report Q3 2025-2026.pdf,10,Chart,The mobile money sub-segment continued to register growth as illustrated in Figure 3 with active,"| 1.3 Mobile Money Services  | The mobile money sub-segment continued to register growth as illustrated in Figure 3 with active  | subscriptions growing by 3.9 per cent to 53.4 million resulting to a penetration rate of 100.1 per cent. as at  | the end of the quarter. This trend mirrors the increase in active mobile subscriptions.  |   | Figure 3 illustrates the trends in mobile money subscriptions and the respective penetration rates.  |   | 2 M2M examples in Kenya include Pay-As-You-Go (PAYG) Solar, Fleet Management and Telematics (car tracking), smart  | metering (KPLC) and Banking and POS Terminals  |"
_Sector Statistics Report Q3 2025-2026.pdf,10,Chart,Figure 3 illustrates the trends in mobile money subscriptions and the respective penetration rates.,"the end of the quarter. This trend mirrors the increase in active mobile subscriptions.  |   | Figure 3 illustrates the trends in mobile money subscriptions and the respective penetration rates.  |   | 2 M2M examples in Kenya include Pay-As-You-Go (PAYG) Solar, Fleet Management and Telematics (car tracking), smart  | metering (KPLC) and Banking and POS Terminals  |"
_Sector Statistics Report Q3 2025-2026.pdf,11,Chart,Figure 3:Mobile Money Services,"| Source: CA, Operators’ Returns  | Figure 3:Mobile Money Services  |   | 1.4 Mobile Data and Broadband3 Services  | By end of the third quarter, mobile data/internet subscriptions increased by 1.0 per cent to reach 62.6 million  | out of which 84.4 per cent of the subscriptions were on mobile broadband. Subscriptions to 2G and 3G  | technologies maintained a downward trend as 4G and 5G subscriptions maintained steady growth during the  | reference period as shown in Figure 4.  |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,11,Chart,reference period as shown in Figure 4.,"out of which 84.4 per cent of the subscriptions were on mobile broadband. Subscriptions to 2G and 3G  | technologies maintained a downward trend as 4G and 5G subscriptions maintained steady growth during the  | reference period as shown in Figure 4.  |   |   |   | Source: CA, Operators’ Returns  | Figure 4: Mobile Data Subscriptions  |   | 3 Mobile broadband includes 3G, 4G and 5G  |"
